                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0172,                0.48918,                0.81063,                0.87062,                0.72234,                0.80259,                0.49378,                 1.0736,                0.49521,                0.82783,              0.0005075,              0.0005075,              0.0005075
                     62,                  1.004,                0.48523,                0.80753,                0.93638,                0.71789,                0.80787,                0.49776,                 1.0539,                0.48155,                0.82373,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.0182,                0.48956,                0.81139,                0.94059,                0.70427,                0.78733,                0.49763,                 1.0478,                0.47667,                0.82469,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.0032,                0.48124,                0.80775,                0.92837,                0.70896,                0.79431,                0.48984,                 1.0389,                0.47047,                0.82541,             0.00047038,             0.00047038,             0.00047038
                     65,                0.99509,                0.47968,                0.80623,                0.90177,                 0.7497,                 0.8039,                0.49982,                 1.0252,                0.46622,                0.82171,               0.000458,               0.000458,               0.000458
                     66,                0.99195,                0.47978,                0.80604,                0.84742,                0.75522,                0.80451,                0.48781,                 1.0507,                0.48012,                0.82408,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0163,                0.48418,                0.80721,                0.92897,                0.71002,                0.78391,                0.49382,                 1.0412,                0.48986,                0.82936,             0.00043325,             0.00043325,             0.00043325
                     68,                 0.9856,                 0.4752,                0.80885,                0.90624,                0.73979,                0.80931,                0.49341,                 1.0688,                0.47312,                0.82567,             0.00042087,             0.00042087,             0.00042087
                     69,                0.97296,                0.46843,                 0.8067,                0.93034,                0.70004,                0.79566,                 0.4918,                 1.0595,                0.48122,                0.82547,              0.0004085,              0.0004085,              0.0004085
                     70,                 0.9931,                0.47808,                0.80699,                0.84245,                0.76418,                0.79611,                0.49242,                 1.0383,                0.48364,                0.82337,             0.00039613,             0.00039613,             0.00039613
                     71,                0.98141,                 0.4732,                0.80705,                0.87372,                0.75562,                0.80435,                0.48784,                 1.0724,                 0.4884,                0.82387,             0.00038375,             0.00038375,             0.00038375
                     72,                0.97913,                0.47139,                0.80657,                0.84203,                0.73295,                0.79745,                0.49182,                  1.049,                0.49138,                0.82633,             0.00037138,             0.00037138,             0.00037138
                     73,                0.97568,                0.46628,                0.80322,                0.94647,                0.73772,                0.79958,                0.49283,                 1.0635,                 0.4788,                0.82518,               0.000359,               0.000359,               0.000359
                     74,                 0.9614,                0.46386,                0.80246,                0.93246,                 0.7438,                0.80286,                0.48402,                 1.0678,                0.48842,                0.82498,             0.00034663,             0.00034663,             0.00034663
                     75,                 0.9571,                0.46462,                0.80393,                 0.9419,                0.71314,                0.78909,                0.49149,                 1.0607,                0.48108,                0.82799,             0.00033425,             0.00033425,             0.00033425
                     76,                0.97229,                0.46553,                 0.8041,                0.89574,                0.75439,                0.80048,                0.49881,                  1.035,                0.47623,                 0.8225,             0.00032188,             0.00032188,             0.00032188
                     77,                0.95388,                0.46072,                0.80451,                0.91205,                0.72831,                0.79291,                0.48807,                 1.0462,                0.47604,                0.82449,              0.0003095,              0.0003095,              0.0003095
                     78,                0.95491,                0.45955,                0.80379,                0.86406,                0.73303,                0.78937,                0.50278,                  1.044,                  0.486,                0.82105,             0.00029713,             0.00029713,             0.00029713
                     79,                0.93785,                0.45063,                0.80304,                0.95121,                0.72073,                0.79041,                0.49892,                  1.038,                0.46814,                0.82233,             0.00028475,             0.00028475,             0.00028475
                     80,                  0.949,                0.45765,                0.80314,                0.93531,                0.73966,                0.79778,                0.48593,                 1.0823,                0.48569,                0.82599,             0.00027237,             0.00027237,             0.00027237
                     81,                0.94562,                0.45559,                0.80186,                0.93914,                0.76193,                 0.8072,                0.49571,                 1.0671,                0.46647,                0.82156,                0.00026,                0.00026,                0.00026
                     82,                0.93657,                0.44798,                0.80188,                0.93636,                0.75445,                0.80036,                0.50259,                 1.0439,                0.46099,                0.82016,             0.00024762,             0.00024762,             0.00024762
                     83,                0.92688,                0.44668,                0.80244,                0.95388,                0.73112,                 0.7987,                0.50105,                 1.0416,                0.45913,                0.82202,             0.00023525,             0.00023525,             0.00023525
                     84,                0.94001,                0.44856,                0.80489,                0.86533,                0.73597,                0.79559,                0.49285,                 1.0658,                0.47433,                0.82394,             0.00022288,             0.00022288,             0.00022288
                     85,                0.93751,                 0.4491,                0.80182,                0.84855,                0.75448,                0.78686,                0.49379,                 1.0528,                0.47992,                0.82243,              0.0002105,              0.0002105,              0.0002105
                     86,                0.92874,                0.44451,                0.80162,                0.89063,                0.74004,                0.79849,                0.49368,                  1.057,                0.46825,                0.82275,             0.00019813,             0.00019813,             0.00019813
                     87,                0.91018,                0.43988,                0.80165,                0.90807,                0.73476,                0.79669,                0.48245,                 1.0581,                0.46452,                 0.8232,             0.00018575,             0.00018575,             0.00018575
                     88,                0.91194,                   0.44,                0.79855,                0.90004,                0.74989,                0.79622,                0.49493,                 1.0637,                0.46123,                0.82301,             0.00017338,             0.00017338,             0.00017338
                     89,                0.91761,                0.44085,                0.80006,                0.90959,                0.72695,                0.79227,                0.48765,                 1.0593,                0.46792,                 0.8247,               0.000161,               0.000161,               0.000161
                     90,                0.91738,                 0.4388,                0.80106,                0.90909,                0.72501,                0.78578,                 0.4838,                 1.0818,                0.46603,                0.82556,             0.00014862,             0.00014862,             0.00014862
                     91,                0.90015,                0.43431,                0.79797,                0.89722,                0.73757,                0.79156,                0.49135,                 1.0696,                0.46266,                0.82425,             0.00013625,             0.00013625,             0.00013625
                     92,                0.91285,                0.43722,                  0.799,                0.94163,                0.74953,                0.80413,                0.49068,                 1.0637,                0.46156,                0.82303,             0.00012387,             0.00012387,             0.00012387
                     93,                0.89637,                0.43227,                0.79784,                0.95012,                0.73509,                0.80446,                0.49482,                 1.0581,                0.46417,                0.82363,              0.0001115,              0.0001115,              0.0001115
                     94,                0.90763,                0.43847,                0.79969,                0.94127,                0.74096,                0.79389,                0.49394,                 1.0418,                0.46537,                0.82184,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.90456,                0.43253,                0.79761,                 0.8905,                0.73863,                0.78491,                0.48206,                 1.0587,                0.46483,                0.82267,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.89473,                0.43078,                0.79692,                0.93915,                0.73892,                0.79843,                0.49105,                 1.0559,                0.46536,                0.82094,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.90119,                0.43215,                0.79991,                0.89339,                0.73021,                0.78204,                0.48656,                 1.0545,                0.46082,                0.82136,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.88752,                0.42722,                 0.7975,                0.95286,                0.73568,                0.79551,                0.49147,                 1.0441,                0.45749,                0.82174,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.89771,                 0.4299,                0.79683,                0.94241,                 0.7331,                0.78816,                0.49186,                 1.0435,                0.45846,                0.82173,              3.725e-05,              3.725e-05,              3.725e-05
